Input,Output,ObservedProb,ExpectedProb
ges-a,gesa,0.0,0.5238099598396712
ges-a,gela,0.0,0.23809502008016442
ges-a,gea,1.0,0.23809502008016442
ges-ta,getta,1.0,0.5238099598396712
ges-ta,gelta,0.0,0.23809502008016442
ges-ta,geta,0.0,0.23809502008016442
kkaes-a,kkaesa,0.0,0.5238099598396712
kkaes-a,kkaela,0.0,0.23809502008016442
kkaes-a,kkaea,1.0,0.23809502008016442
kkaes-ta,kkaetta,1.0,0.5238099598396712
kkaes-ta,kkaelta,0.0,0.23809502008016442
kkaes-ta,kkaeta,0.0,0.23809502008016442
hoes-a,hoesa,0.0,0.5238099598396712
hoes-a,hoela,0.0,0.23809502008016442
hoes-a,hoea,1.0,0.23809502008016442
hoes-ta,hoetta,1.0,0.5238099598396712
hoes-ta,hoelta,0.0,0.23809502008016442
hoes-ta,hoeta,0.0,0.23809502008016442
koes-a,koesa,0.0,0.5238099598396712
koes-a,koela,0.0,0.23809502008016442
koes-a,koea,1.0,0.23809502008016442
koes-ta,koetta,1.0,0.5238099598396712
koes-ta,koelta,0.0,0.23809502008016442
koes-ta,koeta,0.0,0.23809502008016442
nos-a,nosa,0.0,0.5238099598396712
nos-a,nola,0.0,0.23809502008016442
nos-a,noa,1.0,0.23809502008016442
nos-ta,notta,1.0,0.5238099598396712
nos-ta,nolta,0.0,0.23809502008016442
nos-ta,nota,0.0,0.23809502008016442
poes-a,poesa,1.0,0.5238099598396712
poes-a,poela,0.0,0.23809502008016442
poes-a,poea,0.0,0.23809502008016442
poes-ta,poetta,1.0,0.5238099598396712
poes-ta,poelta,0.0,0.23809502008016442
poes-ta,poeta,0.0,0.23809502008016442
meos-a,meosa,1.0,0.5238099598396712
meos-a,meola,0.0,0.23809502008016442
meos-a,meoa,0.0,0.23809502008016442
meos-ta,meotta,1.0,0.5238099598396712
meos-ta,meolta,0.0,0.23809502008016442
meos-ta,meota,0.0,0.23809502008016442
jjaes-a,jjaesa,1.0,0.5238099598396712
jjaes-a,jjaela,0.0,0.23809502008016442
jjaes-a,jjaea,0.0,0.23809502008016442
jjaes-ta,jjaetta,1.0,0.5238099598396712
jjaes-ta,jjaelta,0.0,0.23809502008016442
jjaes-ta,jjaeta,0.0,0.23809502008016442
ches-a,chesa,1.0,0.5238099598396712
ches-a,chela,0.0,0.23809502008016442
ches-a,chea,0.0,0.23809502008016442
ches-ta,chetta,1.0,0.5238099598396712
ches-ta,chelta,0.0,0.23809502008016442
ches-ta,cheta,0.0,0.23809502008016442
